Date,Geography,Heavy Trucks - Class 8,Heavy Trucks - Class 5-7,Automotive,Zinc,Heating Oil Spot,Baltic Dry Index,Iron Ore,Soybeans,Copper Warehouse Stock Vol.,Industrial Metals Spot Price,Corn,Brent Spot,Steel,Copper,Agricultural Spot Price Index,U.S. NatGas Spot,WTI Spot,Nickel Warehouse Stock Vol.,Nickel,Zinc Warehouse Stock Vol.,Wheat,Grains,U.S. Gasoline Spot,Industrial Production,Business Confidence,Consumer Confidence,Equity Markets,Exports,Housing Starts,Retail Sales,Unemployment Rates,GDP,Aerospace,Agriculture Machinery,HVAC,Industrial Machinery,Machine Tools,Medical Equipment,Mining & Construction Machinery,Oil/Gas Extraction,Power Gen,Purchasing Managers,Producer Price,Semiconductors/Electronics
11/1/2009,North America,,,535705,1487.289474,147.8665,3494,62.69,11.89,359664.4737,256.68,4.15,57.1885,1792.5,4584.526316,331.233675,3.83025,59.1615,111071.3684,12652.5,323011.8421,429.18,416.73,185.13,-0.146965,97.8490386,54.8057873,902.408213,83.369,540,296.501,0.094,-4.0508644,85.8035,66.8065,95.2359,72.1112,65.7709,96.919,55.99067,82.6669,65.5739,41.7,102.005863,230000000
12/1/2009,North America,,,574355,1553.545455,174.7245455,3757,71.66,12.3075,287514.7727,273.8,3.37,68.9963636,1850,5014.931818,331.1523182,3.8086364,69.6818182,108695.7273,14913.40909,334017.0455,363.86,346.4,182.15,-0.149305,98.4819104,49.3240623,926.1151662,85.737,585,302.169,0.095,-4.0508644,84.6821,64.6979,80.3777,74.6097,63.9705,95.3091,57.211655,82.5726,62.8498,45.8,103.582904,230000000
1/1/2010,North America,,,581905,1580.804348,161.5347368,3350,83.95,11.29,267876.087,316.08,3.33,64.8468182,2300,5227.782609,296.0999545,3.3847727,64.0940909,108312,15972.17391,358351.087,354.64,337.96,192.89,-0.136426,99.131371,47.3716037,935.8209776,87.833,594,302.802,0.095,-3.1996084,85.1505,66.4557,82.8105,76.7439,62.5746,95.9692,53.5277,84.2547,62.7159,49.9,102.125605,243333333
2/1/2010,North America,,,815755,1820.2,186.5938095,2421,97.67,10.49,291835,340.7,3.16,72.8161905,2442.857143,6163.35,308.6241905,3.1478571,71.0552381,108336,19379.875,431386.25,334.03,326.29,178.62,-0.116081,99.6701608,54.4788468,1009.724883,87.767,586,309.023,0.096,-3.1996084,85.4333,61.9549,88.4589,79.4577,63.2446,98.9435,61.16023,84.4545,61.2803,53.5,103.585879,243333333
3/1/2010,North America,,,957133,1882.795455,173.0509524,2220,80.71,9.195,323845.4545,333.48,3.28,67.8161905,2578.571429,6198.931818,300.7911905,3.0111905,69.4633333,117760.0909,17428.52273,436159.0909,306.27,315.01,173.09,-0.072785,99.9829818,53.4254407,1044.552043,91.673,585,301.033,0.098,-3.1996084,87.7502,64.5426,86.3681,82.7342,65.2408,98.5186,53.54957,84.9795,65.0531,54.4,103.341904,243333333
4/1/2010,North America,,,1012759,2069.386364,193.345,3103,86.79,9.705,356635.2273,345.44,3.43,72.8418182,2435.681818,6303.954546,320.2347273,4.0231818,75.8236364,122763.5455,18503.63636,430462.5,329.13,335.63,193.7,-0.077506,100.2042495,48.6712603,1067.664107,94.829,534,304.154,0.1,-0.0666306,87.6843,66.5286,86.5605,82.7835,67.2091,98.6688,59.62023,84.327,65.0548,56,104.081609,286666667
5/1/2010,North America,,,911200,2199.238095,198.7457895,3887,99.26,10.405,406521.4286,363.8,3.73,76.7665,2160,6688.285714,338.96005,3.6975,77.93,132131.1429,16958.21429,438266.6667,389.91,384.03,194.9,-0.060335,100.3213218,50.6407609,1088.068348,94.635,588,306.675,0.099,-0.0666306,87.6013,61.6812,90.6416,84.5671,69.0916,100.9316,49.76052,83.0599,68.1939,54.4,105.399844,286666667
6/1/2010,North America,,,828908,2387.238636,197.2186364,3005,105.25,10.1725,469390.9091,391.81,3.74,74.4363636,2522.727273,6976.045455,345.9770909,5.3178571,74.4231818,147261,17210,462820.4545,359.44,369.69,201.69,-0.030329,100.5408844,53.6232339,1110.377842,98.293,581,308.413,0.099,-0.0666306,87.9397,61.7085,87.6976,86.9726,69.9525,99.7117,60.188835,82.8883,72.2659,55.3,105.582869,286666667
7/1/2010,North America,,,871228,2425,205.1445,2848,125.91,8.965,523467.5,357.9,3.24,76.3445,2976.31579,7378.575,343.8782105,5.807,78.3715,161085,18444.875,490803.75,316.54,322.08,186.97,0.005134,100.8570643,56.45359,1123.581457,98.302,614,308.529,0.098,1.888583,89.6994,64.4786,87.7596,87.7707,72.2882,99.6558,63.377955,83.2189,72.1274,57.6,106.417091,303333333
8/1/2010,North America,,,928382,2156.825,197.5242105,2738,127.62,9.385,547176.25,379.31,3.57,73.593,3050,6854.325,328.6426842,5.3247368,76.4226316,164560.5,19006.125,516443.75,345.4,348.21,205.17,0.016786,101.0837186,46.4249461,1089.161827,99.555,604,308.52,0.098,1.888583,89.0413,68.0934,86.403,88.4635,72.6766,98.2609,62.77845,84.4161,71.5138,56.1,105.945726,303333333
9/1/2010,North America,,,1097484,2279.23913,208.4730435,2998,139.77,9.26,530610.8696,413.02,3.21,79.076087,3528.26087,7473.065217,310.9430435,4.2923913,81.2421739,158894.6087,22446.63043,540753.2609,300.73,314.5,218.47,0.041497,101.2728218,52.2928015,1152.04912,103.53,636,316.269,0.099,1.888583,90.2087,67.166,84.7396,88.5131,74.4251,99.0733,64.60477,84.328,70.2796,58.9,106.456795,303333333
10/1/2010,North America,,,969381,2375,221.0215,3354,172.47,9.77,508242.5,402.53,3.51,84.8933333,3600,7747.975,304.2441364,4.034,84.48,150868.5,26060.25,545245,335.68,343.31,228.39,0.053492,101.2149717,57.7353522,2761.975744,102.397,687,318.612,0.099,3.091278,90.2515,70.2513,89.3424,91.8843,76.4136,100.013,72.239875,83.9025,69.3413,58.3,106.419333,410000000
11/1/2010,North America,,,1011099,1973.342105,203.7755,4078,161.35,9.2775,484700,361.33,3.31,76.5075,3387.5,6841.526316,299.5941,4.1475,73.836,141546,21978.94737,579930.2632,306.9,321.17,190.16,0.078343,100.9428784,62.6603227,1125.063677,105.517,583,315.356,0.096,3.091278,90.1002,70.2592,96.4843,95.4623,79.6631,100.7623,74.80907,84.2125,70.5406,58.3,106.632343,410000000
12/1/2010,North America,,,1109188,1746.659091,203.4368182,2406,143.63,9.41,462505.6818,341.92,3.29,74.9690909,3350,6485.727273,294.8248182,4.8081818,75.3490909,131471.4545,19397.95455,617288.6364,320.99,324.84,197.04,0.083996,100.621313,54.3136656,1083.360211,104.494,536,315.25,0.094,3.091278,90.2866,80.36,90.549,96.0423,81.8499,98.6233,72.324625,84.6624,73.4401,56,106.07413,410000000
1/1/2011,North America,,,807741,1845.909091,198.259,1967,126.36,10.3,427790.9091,380.48,3.62,75.6827273,3050,6750.25,325.8120952,4.6265909,76.1772727,119343.5455,19512.95455,618070.4545,441.19,391.47,202.49,0.076642,100.4414238,51.0251372,1079.802634,107.246,546,315.546,0.094,3.3137615,91.5603,75.3513,93.3309,97.7897,83.896,99.8211,69.2512,85.0981,76.2294,55.7,105.810651,510000000
2/1/2011,North America,,,1098319,2047.285714,202.2413636,2713,145.34,9.85,406580.9524,377.38,3.9,77.9504545,3259.090909,7287.904762,368.2991818,4.305,76.8231818,117252.2857,21436.66667,619473.8095,457.72,413.44,186.37,0.070156,100.4176113,53.1782177,1087.28277,107.428,599,317.345,0.095,3.3137615,92.2243,66.5599,91.7157,100.364,86.4166,99.4062,73.823525,86.4868,75.5719,57.2,106.539315,510000000
3/1/2011,North America,,,1075039,2159.181818,209.4828571,2446,140.63,10.6925,387136.3636,416.03,4.63,78.4418182,3471.428571,7738.545455,401.7654286,3.902,75.3057143,120064.9091,22718.29545,619677.2727,451.76,437.85,202.36,0.062107,100.525442,48.6103433,1122.082246,107.734,594,319.914,0.095,3.3137615,90.9903,67.4769,90.3372,103.6688,87.9826,99.1787,75.708975,88.113,74.3981,56.5,107.032536,510000000
4/1/2011,North America,,,1113079,2374.309524,224.0452632,2678,148.48,11.86,370995.2381,424.36,5.57,83.6295238,3242.857143,8301.154762,430.6357143,3.4315238,81.902381,124749.1429,23831.19048,610922.619,482.68,489.4,200.44,0.057415,100.7464486,49.9152652,1171.583193,112.73,543,324.043,0.094,2.7397232,89.7964,68.2925,92.4952,107.4006,89.2831,99.8937,78.270035,87.7041,74.8353,57.9,108.340465,696666667
5/1/2011,North America,,,1003148,2286.659091,231.765,2099,160.55,12.28,361830.6818,418.04,5.1,85.7347619,3380.952381,8467.886364,455.0928571,3.7325,84.0933333,130027.3636,22904.54545,632419.3182,465.03,470.79,214.56,0.052591,100.9812869,57.8239692,1198.88831,113.521,545,327.635,0.098,2.7397232,89.4662,69.2274,93.6081,109.7895,89.6224,100.545,79.75462,87.2094,75.316,57.6,108.907427,696666667
